area,areaid,daydiff,daytotal,referencedate,totaldistinctpersons,totalvaccinations
ΜΗΛΟΥ,1207,0,0,2021-01-06T00:00:00,0,0
ΜΥΚΟΝΟΥ,1208,0,0,2021-01-06T00:00:00,0,0
ΝΑΞΟΥ,1209,0,0,2021-01-06T00:00:00,0,0
ΝΗΣΩΝ,906,0,0,2021-01-06T00:00:00,0,0
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,0,0,2021-01-03T00:00:00,0,0
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,5,55,2021-01-03T00:00:00,377,377
ΑΝΔΡΟΥ,1201,0,0,2021-01-03T00:00:00,0,0
ΑΡΓΟΛΙΔΑΣ,1001,0,0,2021-01-03T00:00:00,0,0
ΑΡΚΑΔΙΑΣ,1002,0,0,2021-01-03T00:00:00,0,0
ΑΡΤΑΣ,401,20,20,2021-01-03T00:00:00,20,20
ΑΧΑΪΑΣ,702,44,144,2021-01-03T00:00:00,555,555
ΒΟΙΩΤΙΑΣ,801,0,0,2021-01-03T00:00:00,0,0
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,902,18,18,2021-01-03T00:00:00,18,18
ΓΡΕΒΕΝΩΝ,301,0,0,2021-01-03T00:00:00,0,0
ΔΡΑΜΑΣ,101,0,0,2021-01-03T00:00:00,0,0
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,0,0,2021-01-03T00:00:00,231,231
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,5,70,2021-01-03T00:00:00,379,379
ΕΒΡΟΥ,102,0,0,2021-01-03T00:00:00,0,0
ΕΥΒΟΙΑΣ,802,0,0,2021-01-03T00:00:00,0,0
ΕΥΡΥΤΑΝΙΑΣ,803,0,0,2021-01-03T00:00:00,0,0
ΖΑΚΥΝΘΟΥ,601,0,0,2021-01-03T00:00:00,0,0
ΗΛΕΙΑΣ,703,0,0,2021-01-03T00:00:00,0,0
ΗΜΑΘΙΑΣ,201,0,0,2021-01-03T00:00:00,0,0
ΗΡΑΚΛΕΙΟΥ,1301,0,0,2021-01-03T00:00:00,0,0
ΘΑΣΟΥ,103,0,0,2021-01-03T00:00:00,0,0
ΘΕΣΠΡΩΤΙΑΣ,402,0,0,2021-01-03T00:00:00,0,0
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,17,98,2021-01-03T00:00:00,436,436
ΘΗΡΑΣ,1202,0,0,2021-01-03T00:00:00,0,0
ΙΘΑΚΗΣ,602,0,0,2021-01-03T00:00:00,0,0
ΙΚΑΡΙΑΣ,1101,0,0,2021-01-03T00:00:00,0,0
ΙΩΑΝΝΙΝΩΝ,403,10,80,2021-01-03T00:00:00,428,428
ΚΑΒΑΛΑΣ,104,0,0,2021-01-03T00:00:00,0,0
ΚΑΛΥΜΝΟΥ,1203,0,0,2021-01-03T00:00:00,0,0
ΚΑΡΔΙΤΣΑΣ,501,0,0,2021-01-03T00:00:00,0,0
ΚΑΡΠΑΘΟΥ,1204,0,0,2021-01-03T00:00:00,0,0
ΚΑΣΤΟΡΙΑΣ,302,0,0,2021-01-03T00:00:00,0,0
ΚΕΑΣ-ΚΥΘΝΟΥ,1205,0,0,2021-01-03T00:00:00,0,0
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,905,61,191,2021-01-03T00:00:00,893,893
ΚΕΡΚΥΡΑΣ,603,0,0,2021-01-03T00:00:00,0,0
ΚΕΦΑΛΛΗΝΙΑΣ,604,0,0,2021-01-03T00:00:00,0,0
ΚΙΛΚΙΣ,203,0,0,2021-01-03T00:00:00,0,0
ΚΟΖΑΝΗΣ,303,0,0,2021-01-03T00:00:00,0,0
ΚΟΡΙΝΘΙΑΣ,1003,0,0,2021-01-03T00:00:00,0,0
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,50,50,2021-01-04T00:00:00,50,50
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,30,85,2021-01-04T00:00:00,462,462
ΑΝΔΡΟΥ,1201,0,0,2021-01-04T00:00:00,0,0
ΑΡΓΟΛΙΔΑΣ,1001,0,0,2021-01-04T00:00:00,0,0
ΑΡΚΑΔΙΑΣ,1002,0,0,2021-01-04T00:00:00,0,0
ΑΡΤΑΣ,401,40,60,2021-01-04T00:00:00,80,80
ΑΧΑΪΑΣ,702,130,274,2021-01-04T00:00:00,829,829
ΒΟΙΩΤΙΑΣ,801,0,0,2021-01-04T00:00:00,0,0
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,902,602,620,2021-01-04T00:00:00,638,638
ΓΡΕΒΕΝΩΝ,301,0,0,2021-01-04T00:00:00,0,0
ΔΡΑΜΑΣ,101,0,0,2021-01-04T00:00:00,0,0
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,65,65,2021-01-04T00:00:00,296,296
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,61,131,2021-01-04T00:00:00,510,510
ΕΒΡΟΥ,102,0,0,2021-01-04T00:00:00,0,0
ΕΥΒΟΙΑΣ,802,0,0,2021-01-04T00:00:00,0,0
ΕΥΡΥΤΑΝΙΑΣ,803,0,0,2021-01-04T00:00:00,0,0
ΖΑΚΥΝΘΟΥ,601,0,0,2021-01-04T00:00:00,0,0
ΗΛΕΙΑΣ,703,0,0,2021-01-04T00:00:00,0,0
ΗΜΑΘΙΑΣ,201,79,79,2021-01-04T00:00:00,79,79
ΗΡΑΚΛΕΙΟΥ,1301,112,112,2021-01-04T00:00:00,112,112
ΘΑΣΟΥ,103,0,0,2021-01-04T00:00:00,0,0
ΘΕΣΠΡΩΤΙΑΣ,402,0,0,2021-01-04T00:00:00,0,0
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,865,963,2021-01-04T00:00:00,1399,1399
ΘΗΡΑΣ,1202,0,0,2021-01-04T00:00:00,0,0
ΙΘΑΚΗΣ,602,0,0,2021-01-04T00:00:00,0,0
ΙΚΑΡΙΑΣ,1101,0,0,2021-01-04T00:00:00,0,0
ΙΩΑΝΝΙΝΩΝ,403,179,259,2021-01-04T00:00:00,687,687
ΚΑΒΑΛΑΣ,104,0,0,2021-01-04T00:00:00,0,0
ΚΑΛΥΜΝΟΥ,1203,0,0,2021-01-04T00:00:00,0,0
ΚΑΡΔΙΤΣΑΣ,501,100,100,2021-01-04T00:00:00,100,100
ΚΑΡΠΑΘΟΥ,1204,0,0,2021-01-04T00:00:00,0,0
ΚΑΣΤΟΡΙΑΣ,302,0,0,2021-01-04T00:00:00,0,0
ΚΕΑΣ-ΚΥΘΝΟΥ,1205,0,0,2021-01-04T00:00:00,0,0
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,0,0,2021-01-06T00:00:00,0,0
ΞΑΝΘΗΣ,105,0,0,2021-01-06T00:00:00,0,0
ΠΑΡΟΥ,1210,0,0,2021-01-06T00:00:00,0,0
ΠΕΙΡΑΙΩΣ,908,-46,133,2021-01-06T00:00:00,449,449
ΠΕΛΛΑΣ,204,41,103,2021-01-06T00:00:00,309,309
ΠΙΕΡΙΑΣ,205,-34,64,2021-01-06T00:00:00,240,240
ΠΡΕΒΕΖΑΣ,404,0,0,2021-01-06T00:00:00,0,0
ΡΕΘΥΜΝΟΥ,1303,0,0,2021-01-06T00:00:00,0,0
ΡΟΔΟΠΗΣ,106,0,0,2021-01-06T00:00:00,0,0
ΡΟΔΟΥ,1211,0,0,2021-01-06T00:00:00,0,0
ΣΑΜΟΥ,1104,0,0,2021-01-06T00:00:00,0,0
ΣΕΡΡΩΝ,206,0,0,2021-01-06T00:00:00,0,0
ΣΠΟΡΑΔΩΝ,504,0,0,2021-01-06T00:00:00,0,0
ΣΥΡΟΥ,1212,0,0,2021-01-06T00:00:00,0,0
ΤΗΝΟΥ,1213,0,0,2021-01-06T00:00:00,0,0
ΤΡΙΚΑΛΩΝ,505,25,85,2021-01-06T00:00:00,285,285
ΦΘΙΩΤΙΔΑΣ,804,0,0,2021-01-06T00:00:00,0,0
ΦΛΩΡΙΝΑΣ,304,0,0,2021-01-06T00:00:00,0,0
ΦΩΚΙΔΑΣ,805,0,0,2021-01-06T00:00:00,0,0
ΧΑΛΚΙΔΙΚΗΣ,207,0,0,2021-01-06T00:00:00,0,0
ΧΑΝΙΩΝ,1304,10,155,2021-01-06T00:00:00,450,450
ΧΙΟΥ,1105,0,0,2021-01-06T00:00:00,0,0
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,0,50,2021-01-05T00:00:00,100,100
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,-45,40,2021-01-05T00:00:00,502,502
ΑΝΔΡΟΥ,1201,0,0,2021-01-05T00:00:00,0,0
ΑΡΓΟΛΙΔΑΣ,1001,0,0,2021-01-05T00:00:00,0,0
ΑΡΚΑΔΙΑΣ,1002,0,0,2021-01-05T00:00:00,0,0
ΑΡΤΑΣ,401,24,84,2021-01-05T00:00:00,164,164
ΑΧΑΪΑΣ,702,110,384,2021-01-05T00:00:00,1213,1213
ΒΟΙΩΤΙΑΣ,801,0,0,2021-01-05T00:00:00,0,0
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,902,34,658,2021-01-05T00:00:00,1300,1300
ΓΡΕΒΕΝΩΝ,301,0,0,2021-01-05T00:00:00,0,0
ΔΡΑΜΑΣ,101,0,0,2021-01-05T00:00:00,0,0
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,-25,40,2021-01-05T00:00:00,336,336
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,13,144,2021-01-05T00:00:00,654,654
ΕΒΡΟΥ,102,0,0,2021-01-05T00:00:00,0,0
ΕΥΒΟΙΑΣ,802,0,0,2021-01-05T00:00:00,0,0
ΕΥΡΥΤΑΝΙΑΣ,803,0,0,2021-01-05T00:00:00,0,0
ΖΑΚΥΝΘΟΥ,601,0,0,2021-01-05T00:00:00,0,0
ΗΛΕΙΑΣ,703,0,0,2021-01-05T00:00:00,0,0
ΗΜΑΘΙΑΣ,201,-29,50,2021-01-05T00:00:00,129,129
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,0,0,2020-12-31T00:00:00,0,0
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,5,45,2020-12-31T00:00:00,227,227
ΑΝΔΡΟΥ,1201,0,0,2020-12-31T00:00:00,0,0
ΑΡΓΟΛΙΔΑΣ,1001,0,0,2020-12-31T00:00:00,0,0
ΑΡΚΑΔΙΑΣ,1002,0,0,2020-12-31T00:00:00,0,0
ΑΡΤΑΣ,401,0,0,2020-12-31T00:00:00,0,0
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,0,50,2021-01-06T00:00:00,150,150
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,20,60,2021-01-06T00:00:00,562,562
ΑΝΔΡΟΥ,1201,0,0,2021-01-06T00:00:00,0,0
ΑΡΓΟΛΙΔΑΣ,1001,0,0,2021-01-06T00:00:00,0,0
ΑΡΚΑΔΙΑΣ,1002,0,0,2021-01-06T00:00:00,0,0
ΑΡΤΑΣ,401,-68,21,2021-01-06T00:00:00,190,190
ΑΧΑΪΑΣ,702,-347,40,2021-01-06T00:00:00,1256,1256
ΑΧΑΪΑΣ,702,-4,101,2020-12-31T00:00:00,311,311
ΒΟΙΩΤΙΑΣ,801,0,0,2020-12-31T00:00:00,0,0
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,902,0,0,2020-12-31T00:00:00,0,0
ΓΡΕΒΕΝΩΝ,301,0,0,2020-12-31T00:00:00,0,0
ΔΡΑΜΑΣ,101,0,0,2020-12-31T00:00:00,0,0
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,-14,35,2020-12-31T00:00:00,231,231
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,-20,20,2020-12-31T00:00:00,214,214
ΕΒΡΟΥ,102,0,0,2020-12-31T00:00:00,0,0
ΕΥΒΟΙΑΣ,802,0,0,2020-12-31T00:00:00,0,0
ΕΥΡΥΤΑΝΙΑΣ,803,0,0,2020-12-31T00:00:00,0,0
ΖΑΚΥΝΘΟΥ,601,0,0,2020-12-31T00:00:00,0,0
ΗΛΕΙΑΣ,703,0,0,2020-12-31T00:00:00,0,0
ΗΜΑΘΙΑΣ,201,0,0,2020-12-31T00:00:00,0,0
ΗΡΑΚΛΕΙΟΥ,1301,0,0,2020-12-31T00:00:00,0,0
ΘΑΣΟΥ,103,0,0,2020-12-31T00:00:00,0,0
ΘΕΣΠΡΩΤΙΑΣ,402,0,0,2020-12-31T00:00:00,0,0
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,1,80,2020-12-31T00:00:00,217,217
ΘΗΡΑΣ,1202,0,0,2020-12-31T00:00:00,0,0
ΙΘΑΚΗΣ,602,0,0,2020-12-31T00:00:00,0,0
ΙΚΑΡΙΑΣ,1101,0,0,2020-12-31T00:00:00,0,0
ΙΩΑΝΝΙΝΩΝ,403,1,101,2020-12-31T00:00:00,278,278
ΚΑΒΑΛΑΣ,104,0,0,2020-12-31T00:00:00,0,0
ΚΑΛΥΜΝΟΥ,1203,0,0,2020-12-31T00:00:00,0,0
ΚΑΡΔΙΤΣΑΣ,501,0,0,2020-12-31T00:00:00,0,0
ΚΑΡΠΑΘΟΥ,1204,0,0,2020-12-31T00:00:00,0,0
ΚΑΣΤΟΡΙΑΣ,302,0,0,2020-12-31T00:00:00,0,0
ΚΕΑΣ-ΚΥΘΝΟΥ,1205,0,0,2020-12-31T00:00:00,0,0
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,905,25,120,2020-12-31T00:00:00,483,483
ΚΕΡΚΥΡΑΣ,603,0,0,2020-12-31T00:00:00,0,0
ΚΕΦΑΛΛΗΝΙΑΣ,604,0,0,2020-12-31T00:00:00,0,0
ΚΙΛΚΙΣ,203,0,0,2020-12-31T00:00:00,0,0
ΚΟΖΑΝΗΣ,303,0,0,2020-12-31T00:00:00,0,0
ΚΟΡΙΝΘΙΑΣ,1003,0,0,2020-12-31T00:00:00,0,0
ΚΩ,1206,0,0,2020-12-31T00:00:00,0,0
ΛΑΚΩΝΙΑΣ,1004,0,0,2020-12-31T00:00:00,0,0
ΛΑΡΙΣΑΣ,502,-43,102,2020-12-31T00:00:00,352,352
ΛΑΣΙΘΙΟΥ,1302,0,0,2020-12-31T00:00:00,0,0
ΛΕΣΒΟΥ,1102,0,0,2020-12-31T00:00:00,0,0
ΛΕΥΚΑΔΑΣ,605,0,0,2020-12-31T00:00:00,0,0
ΛΗΜΝΟΥ,1103,0,0,2020-12-31T00:00:00,0,0
ΜΑΓΝΗΣΙΑΣ,503,0,0,2020-12-31T00:00:00,0,0
ΜΕΣΣΗΝΙΑΣ,1005,0,0,2020-12-31T00:00:00,0,0
ΜΗΛΟΥ,1207,0,0,2020-12-31T00:00:00,0,0
ΜΥΚΟΝΟΥ,1208,0,0,2020-12-31T00:00:00,0,0
ΝΑΞΟΥ,1209,0,0,2020-12-31T00:00:00,0,0
ΝΗΣΩΝ,906,0,0,2020-12-31T00:00:00,0,0
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,0,0,2020-12-31T00:00:00,0,0
ΞΑΝΘΗΣ,105,0,0,2020-12-31T00:00:00,0,0
ΠΑΡΟΥ,1210,0,0,2020-12-31T00:00:00,0,0
ΠΕΙΡΑΙΩΣ,908,0,0,2020-12-31T00:00:00,0,0
ΠΕΛΛΑΣ,204,0,0,2020-12-31T00:00:00,0,0
ΠΙΕΡΙΑΣ,205,0,0,2020-12-31T00:00:00,0,0
ΠΡΕΒΕΖΑΣ,404,0,0,2020-12-31T00:00:00,0,0
ΡΕΘΥΜΝΟΥ,1303,0,0,2020-12-31T00:00:00,0,0
ΡΟΔΟΠΗΣ,106,0,0,2020-12-31T00:00:00,0,0
ΡΟΔΟΥ,1211,0,0,2020-12-31T00:00:00,0,0
ΣΑΜΟΥ,1104,0,0,2020-12-31T00:00:00,0,0
ΣΕΡΡΩΝ,206,0,0,2020-12-31T00:00:00,0,0
ΣΠΟΡΑΔΩΝ,504,0,0,2020-12-31T00:00:00,0,0
ΣΥΡΟΥ,1212,0,0,2020-12-31T00:00:00,0,0
ΤΗΝΟΥ,1213,0,0,2020-12-31T00:00:00,0,0
ΤΡΙΚΑΛΩΝ,505,0,0,2020-12-31T00:00:00,0,0
ΦΘΙΩΤΙΔΑΣ,804,0,0,2020-12-31T00:00:00,0,0
ΦΛΩΡΙΝΑΣ,304,0,0,2020-12-31T00:00:00,0,0
ΦΩΚΙΔΑΣ,805,0,0,2020-12-31T00:00:00,0,0
ΧΑΛΚΙΔΙΚΗΣ,207,0,0,2020-12-31T00:00:00,0,0
ΧΑΝΙΩΝ,1304,0,0,2020-12-31T00:00:00,0,0
ΧΙΟΥ,1105,0,0,2020-12-31T00:00:00,0,0
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,10,30,2021-01-01T00:00:00,244,244
ΕΒΡΟΥ,102,0,0,2021-01-01T00:00:00,0,0
ΕΥΒΟΙΑΣ,802,0,0,2021-01-01T00:00:00,0,0
ΕΥΡΥΤΑΝΙΑΣ,803,0,0,2021-01-01T00:00:00,0,0
ΖΑΚΥΝΘΟΥ,601,0,0,2021-01-01T00:00:00,0,0
ΗΛΕΙΑΣ,703,0,0,2021-01-01T00:00:00,0,0
ΗΜΑΘΙΑΣ,201,0,0,2021-01-01T00:00:00,0,0
ΗΡΑΚΛΕΙΟΥ,1301,0,0,2021-01-01T00:00:00,0,0
ΘΑΣΟΥ,103,0,0,2021-01-01T00:00:00,0,0
ΘΕΣΠΡΩΤΙΑΣ,402,0,0,2021-01-01T00:00:00,0,0
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,-40,40,2021-01-01T00:00:00,257,257
ΘΗΡΑΣ,1202,0,0,2021-01-01T00:00:00,0,0
ΙΘΑΚΗΣ,602,0,0,2021-01-01T00:00:00,0,0
ΙΚΑΡΙΑΣ,1101,0,0,2021-01-01T00:00:00,0,0
ΙΩΑΝΝΙΝΩΝ,403,-101,0,2021-01-01T00:00:00,278,278
ΚΑΒΑΛΑΣ,104,0,0,2021-01-01T00:00:00,0,0
ΚΑΛΥΜΝΟΥ,1203,0,0,2021-01-01T00:00:00,0,0
ΚΑΡΔΙΤΣΑΣ,501,0,0,2021-01-01T00:00:00,0,0
ΚΑΡΠΑΘΟΥ,1204,0,0,2021-01-01T00:00:00,0,0
ΚΑΣΤΟΡΙΑΣ,302,0,0,2021-01-01T00:00:00,0,0
ΚΕΑΣ-ΚΥΘΝΟΥ,1205,0,0,2021-01-01T00:00:00,0,0
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,905,-31,89,2021-01-01T00:00:00,572,572
ΚΕΡΚΥΡΑΣ,603,0,0,2021-01-01T00:00:00,0,0
ΚΕΦΑΛΛΗΝΙΑΣ,604,0,0,2021-01-01T00:00:00,0,0
ΚΙΛΚΙΣ,203,0,0,2021-01-01T00:00:00,0,0
ΚΟΖΑΝΗΣ,303,0,0,2021-01-01T00:00:00,0,0
ΚΟΡΙΝΘΙΑΣ,1003,0,0,2021-01-01T00:00:00,0,0
ΚΩ,1206,0,0,2021-01-01T00:00:00,0,0
ΛΑΚΩΝΙΑΣ,1004,0,0,2021-01-01T00:00:00,0,0
ΛΑΡΙΣΑΣ,502,-28,74,2021-01-01T00:00:00,426,426
ΛΑΣΙΘΙΟΥ,1302,0,0,2021-01-01T00:00:00,0,0
ΛΕΣΒΟΥ,1102,0,0,2021-01-01T00:00:00,0,0
ΛΕΥΚΑΔΑΣ,605,0,0,2021-01-01T00:00:00,0,0
ΛΗΜΝΟΥ,1103,0,0,2021-01-01T00:00:00,0,0
ΜΑΓΝΗΣΙΑΣ,503,0,0,2021-01-01T00:00:00,0,0
ΜΕΣΣΗΝΙΑΣ,1005,0,0,2021-01-01T00:00:00,0,0
ΜΗΛΟΥ,1207,0,0,2021-01-01T00:00:00,0,0
ΜΥΚΟΝΟΥ,1208,0,0,2021-01-01T00:00:00,0,0
ΝΑΞΟΥ,1209,0,0,2021-01-01T00:00:00,0,0
ΝΗΣΩΝ,906,0,0,2021-01-01T00:00:00,0,0
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,0,0,2021-01-01T00:00:00,0,0
ΞΑΝΘΗΣ,105,0,0,2021-01-01T00:00:00,0,0
ΠΑΡΟΥ,1210,0,0,2021-01-01T00:00:00,0,0
ΠΕΙΡΑΙΩΣ,908,0,0,2021-01-01T00:00:00,0,0
ΠΕΛΛΑΣ,204,0,0,2021-01-01T00:00:00,0,0
ΠΙΕΡΙΑΣ,205,0,0,2021-01-01T00:00:00,0,0
ΠΡΕΒΕΖΑΣ,404,0,0,2021-01-01T00:00:00,0,0
ΡΕΘΥΜΝΟΥ,1303,0,0,2021-01-01T00:00:00,0,0
ΡΟΔΟΠΗΣ,106,0,0,2021-01-01T00:00:00,0,0
ΡΟΔΟΥ,1211,0,0,2021-01-01T00:00:00,0,0
ΣΑΜΟΥ,1104,0,0,2021-01-01T00:00:00,0,0
ΣΕΡΡΩΝ,206,0,0,2021-01-01T00:00:00,0,0
ΣΠΟΡΑΔΩΝ,504,0,0,2021-01-01T00:00:00,0,0
ΣΥΡΟΥ,1212,0,0,2021-01-01T00:00:00,0,0
ΤΗΝΟΥ,1213,0,0,2021-01-01T00:00:00,0,0
ΤΡΙΚΑΛΩΝ,505,0,0,2021-01-01T00:00:00,0,0
ΦΘΙΩΤΙΔΑΣ,804,0,0,2021-01-01T00:00:00,0,0
ΦΛΩΡΙΝΑΣ,304,0,0,2021-01-01T00:00:00,0,0
ΦΩΚΙΔΑΣ,805,0,0,2021-01-01T00:00:00,0,0
ΧΑΛΚΙΔΙΚΗΣ,207,0,0,2021-01-01T00:00:00,0,0
ΧΑΝΙΩΝ,1304,0,0,2021-01-01T00:00:00,0,0
ΧΙΟΥ,1105,0,0,2021-01-01T00:00:00,0,0
ΙΩΑΝΝΙΝΩΝ,403,70,70,2021-01-02T00:00:00,348,348
ΚΑΒΑΛΑΣ,104,0,0,2021-01-02T00:00:00,0,0
ΚΑΛΥΜΝΟΥ,1203,0,0,2021-01-02T00:00:00,0,0
ΚΑΡΔΙΤΣΑΣ,501,0,0,2021-01-02T00:00:00,0,0
ΚΑΡΠΑΘΟΥ,1204,0,0,2021-01-02T00:00:00,0,0
ΚΑΣΤΟΡΙΑΣ,302,0,0,2021-01-02T00:00:00,0,0
ΚΕΑΣ-ΚΥΘΝΟΥ,1205,0,0,2021-01-02T00:00:00,0,0
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,905,41,130,2021-01-02T00:00:00,702,702
ΚΕΡΚΥΡΑΣ,603,0,0,2021-01-02T00:00:00,0,0
ΚΕΦΑΛΛΗΝΙΑΣ,604,0,0,2021-01-02T00:00:00,0,0
ΚΙΛΚΙΣ,203,0,0,2021-01-02T00:00:00,0,0
ΚΟΖΑΝΗΣ,303,0,0,2021-01-02T00:00:00,0,0
ΚΟΡΙΝΘΙΑΣ,1003,0,0,2021-01-02T00:00:00,0,0
ΚΩ,1206,0,0,2021-01-02T00:00:00,0,0
ΛΑΚΩΝΙΑΣ,1004,0,0,2021-01-02T00:00:00,0,0
ΛΑΡΙΣΑΣ,502,-29,45,2021-01-02T00:00:00,471,471
ΛΑΣΙΘΙΟΥ,1302,0,0,2021-01-02T00:00:00,0,0
ΛΕΣΒΟΥ,1102,0,0,2021-01-02T00:00:00,0,0
ΛΕΥΚΑΔΑΣ,605,0,0,2021-01-02T00:00:00,0,0
ΛΗΜΝΟΥ,1103,0,0,2021-01-02T00:00:00,0,0
ΜΑΓΝΗΣΙΑΣ,503,0,0,2021-01-02T00:00:00,0,0
ΜΕΣΣΗΝΙΑΣ,1005,0,0,2021-01-02T00:00:00,0,0
ΜΗΛΟΥ,1207,0,0,2021-01-02T00:00:00,0,0
ΜΥΚΟΝΟΥ,1208,0,0,2021-01-02T00:00:00,0,0
ΝΑΞΟΥ,1209,0,0,2021-01-02T00:00:00,0,0
ΝΗΣΩΝ,906,0,0,2021-01-02T00:00:00,0,0
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,0,0,2021-01-02T00:00:00,0,0
ΞΑΝΘΗΣ,105,0,0,2021-01-02T00:00:00,0,0
ΠΑΡΟΥ,1210,0,0,2021-01-02T00:00:00,0,0
ΠΕΙΡΑΙΩΣ,908,0,0,2021-01-02T00:00:00,0,0
ΠΕΛΛΑΣ,204,0,0,2021-01-02T00:00:00,0,0
ΠΙΕΡΙΑΣ,205,0,0,2021-01-02T00:00:00,0,0
ΠΡΕΒΕΖΑΣ,404,0,0,2021-01-02T00:00:00,0,0
ΡΕΘΥΜΝΟΥ,1303,0,0,2021-01-02T00:00:00,0,0
ΡΟΔΟΠΗΣ,106,0,0,2021-01-02T00:00:00,0,0
ΡΟΔΟΥ,1211,0,0,2021-01-02T00:00:00,0,0
ΣΑΜΟΥ,1104,0,0,2021-01-02T00:00:00,0,0
ΣΕΡΡΩΝ,206,0,0,2021-01-02T00:00:00,0,0
ΣΠΟΡΑΔΩΝ,504,0,0,2021-01-02T00:00:00,0,0
ΣΥΡΟΥ,1212,0,0,2021-01-02T00:00:00,0,0
ΤΗΝΟΥ,1213,0,0,2021-01-02T00:00:00,0,0
ΤΡΙΚΑΛΩΝ,505,0,0,2021-01-02T00:00:00,0,0
ΦΘΙΩΤΙΔΑΣ,804,0,0,2021-01-02T00:00:00,0,0
ΦΛΩΡΙΝΑΣ,304,0,0,2021-01-02T00:00:00,0,0
ΦΩΚΙΔΑΣ,805,0,0,2021-01-02T00:00:00,0,0
ΧΑΛΚΙΔΙΚΗΣ,207,0,0,2021-01-02T00:00:00,0,0
ΧΑΝΙΩΝ,1304,0,0,2021-01-02T00:00:00,0,0
ΧΙΟΥ,1105,0,0,2021-01-02T00:00:00,0,0
ΚΩ,1206,0,0,2021-01-03T00:00:00,0,0
ΛΑΚΩΝΙΑΣ,1004,0,0,2021-01-03T00:00:00,0,0
ΛΑΡΙΣΑΣ,502,-10,35,2021-01-03T00:00:00,506,506
ΛΑΣΙΘΙΟΥ,1302,0,0,2021-01-03T00:00:00,0,0
ΛΕΣΒΟΥ,1102,0,0,2021-01-03T00:00:00,0,0
ΛΕΥΚΑΔΑΣ,605,0,0,2021-01-03T00:00:00,0,0
ΛΗΜΝΟΥ,1103,0,0,2021-01-03T00:00:00,0,0
ΜΑΓΝΗΣΙΑΣ,503,0,0,2021-01-03T00:00:00,0,0
ΜΕΣΣΗΝΙΑΣ,1005,0,0,2021-01-03T00:00:00,0,0
ΜΗΛΟΥ,1207,0,0,2021-01-03T00:00:00,0,0
ΜΥΚΟΝΟΥ,1208,0,0,2021-01-03T00:00:00,0,0
ΝΑΞΟΥ,1209,0,0,2021-01-03T00:00:00,0,0
ΝΗΣΩΝ,906,0,0,2021-01-03T00:00:00,0,0
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,0,0,2021-01-03T00:00:00,0,0
ΞΑΝΘΗΣ,105,0,0,2021-01-03T00:00:00,0,0
ΠΑΡΟΥ,1210,0,0,2021-01-03T00:00:00,0,0
