location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
Greece,GRC,2021-09-20,11922452,6374325,5958770,13896,31000,27731,114.96,61.46,57.46,0.13,2674,13256,0.128
Greece,GRC,2021-09-21,11949764,6383886,5975813,16041,27312,27192,115.23,61.56,57.62,0.15,2622,11821,0.114
Greece,GRC,2021-09-22,11977843,6393017,5994644,17810,28079,26417,115.5,61.64,57.8,0.17,2547,10621,0.102
Greece,GRC,2021-09-23,12002672,6400485,6011426,19804,24829,25603,115.74,61.72,57.97,0.19,2469,9607,0.093
Greece,GRC,2021-09-24,12031974,6409283,6031804,21300,29302,25027,116.02,61.8,58.16,0.21,2413,8658,0.083
Greece,GRC,2021-09-25,12062209,6416690,6054603,22200,30235,24589,116.31,61.87,58.38,0.21,2371,7770,0.075
Greece,GRC,2021-09-26,12063951,6417150,6055937,22250,1742,24643,116.33,61.88,58.39,0.21,2376,7728,0.075
Greece,GRC,2021-09-27,12089060,6424744,6073342,23433,25109,23801,116.57,61.95,58.56,0.23,2295,7203,0.069
Greece,GRC,2021-09-28,12112187,6431863,6089410,24465,23127,23203,116.79,62.02,58.72,0.24,2237,6854,0.066
Greece,GRC,2021-09-29,12136422,6438774,6106943,25470,24235,22654,117.03,62.09,58.89,0.25,2184,6537,0.063
Greece,GRC,2021-09-30,12162958,6445279,6123386,30227,26536,22898,117.28,62.15,59.04,0.29,2208,6399,0.062
Greece,GRC,2021-10-01,12192739,6452132,6139679,37919,29781,22966,117.57,62.21,59.2,0.37,2214,6121,0.059
Greece,GRC,2021-10-02,12223740,6458085,6158965,44426,31001,23076,117.87,62.27,59.39,0.43,2225,5914,0.057
Greece,GRC,2021-10-03,12225389,6458517,6159916,44790,1649,23063,117.88,62.28,59.4,0.43,2224,5910,0.057
Greece,GRC,2021-10-04,12255727,6463763,6175383,55301,30338,23810,118.18,62.33,59.55,0.53,2296,5574,0.054
Greece,GRC,2021-10-05,12286340,6469348,6190076,66640,30613,24879,118.47,62.38,59.69,0.64,2399,5355,0.052
Greece,GRC,2021-10-06,12317319,6475455,6203814,78888,30979,25842,118.77,62.44,59.82,0.76,2492,5240,0.051
Greece,GRC,2021-10-07,12346128,6481675,6215544,90758,28809,26167,119.05,62.5,59.93,0.88,2523,5199,0.05
Greece,GRC,2021-10-08,12378946,6489305,6229374,103298,32818,26601,119.36,62.57,60.07,1.0,2565,5310,0.051
Greece,GRC,2021-10-09,12411310,6496916,6243653,114661,32364,26796,119.68,62.65,60.2,1.11,2584,5547,0.053
Greece,GRC,2021-10-10,12412827,6497385,6244395,115052,1517,26777,119.69,62.65,60.21,1.11,2582,5553,0.054
Greece,GRC,2021-10-11,12444537,6504856,6255574,129284,31710,26973,120.0,62.72,60.32,1.25,2601,5870,0.057
Greece,GRC,2021-10-12,12476953,6512532,6265394,145319,32416,27230,120.31,62.8,60.41,1.4,2626,6169,0.059
Greece,GRC,2021-10-13,12509353,6519927,6274331,162580,32400,27433,120.62,62.87,60.5,1.57,2645,6353,0.061
Greece,GRC,2021-10-14,12537399,6526808,6281701,177407,28046,27324,120.89,62.93,60.57,1.71,2635,6448,0.062
Greece,GRC,2021-10-15,12566869,6534800,6290811,190792,29470,26846,121.18,63.01,60.66,1.84,2589,6499,0.063
Greece,GRC,2021-10-16,12595035,6542764,6300798,201861,28166,26246,121.45,63.09,60.76,1.95,2531,6550,0.063
Greece,GRC,2021-10-17,12596452,6543348,6301452,202188,1417,26232,121.46,63.09,60.76,1.95,2529,6566,0.063
Greece,GRC,2021-10-18,12624894,6550663,6309002,216709,28442,25765,121.74,63.16,60.83,2.09,2484,6544,0.063
Greece,GRC,2021-10-19,12652171,6558273,6315626,230798,27277,25031,122.0,63.24,60.9,2.23,2414,6534,0.063
Greece,GRC,2021-10-20,12679428,6566021,6321918,245101,27257,24296,122.26,63.31,60.96,2.36,2343,6585,0.063
Greece,GRC,2021-10-21,12705670,6573855,6327941,258547,26242,24039,122.51,63.39,61.02,2.49,2318,6721,0.065
Greece,GRC,2021-10-22,12733298,6583131,6334956,270973,27628,23776,122.78,63.48,61.08,2.61,2293,6904,0.067
Greece,GRC,2021-10-23,12759638,6593241,6342127,280980,26340,23515,123.03,63.58,61.15,2.71,2267,7211,0.07
Greece,GRC,2021-10-24,12759982,6593448,6342240,281033,344,23361,123.04,63.58,61.16,2.71,2253,7157,0.069
Greece,GRC,2021-10-25,12785479,6602171,6347807,293266,25497,22941,123.28,63.66,61.21,2.83,2212,7358,0.071
Greece,GRC,2021-10-26,12805793,6609484,6352379,302603,20314,21946,123.48,63.73,61.25,2.92,2116,7316,0.071
Greece,GRC,2021-10-27,12832032,6618450,6358339,315225,26239,21801,123.73,63.82,61.31,3.04,2102,7490,0.072
Greece,GRC,2021-10-28,12832402,6618651,6358448,315306,370,18105,123.74,63.82,61.31,3.04,1746,6399,0.062
Greece,GRC,2021-10-29,12863008,6628438,6367956,327793,30606,18530,124.03,63.91,61.4,3.16,1787,6472,0.062
Greece,GRC,2021-10-30,12892412,6638684,6375603,340451,29404,18968,124.32,64.01,61.48,3.28,1829,6492,0.063
Greece,GRC,2021-10-31,12892763,6638876,6375743,340526,351,18969,124.32,64.02,61.48,3.28,1829,6490,0.063
Greece,GRC,2021-11-01,12921550,6646533,6382373,355906,28787,19439,124.6,64.09,61.54,3.43,1874,6337,0.061
Greece,GRC,2021-11-02,12953577,6655689,6388920,373418,32027,21112,124.9,64.18,61.61,3.6,2036,6601,0.064
Greece,GRC,2021-11-03,12989716,6666721,6395944,393372,36139,22526,125.25,64.28,61.67,3.79,2172,6896,0.066
Greece,GRC,2021-11-04,13026544,6679883,6402949,412146,36828,27735,125.61,64.41,61.74,3.97,2674,8747,0.084
Greece,GRC,2021-11-05,13067993,6696230,6412309,431135,41449,29284,126.01,64.57,61.83,4.16,2824,9685,0.093
Greece,GRC,2021-11-06,13102311,6710521,6420739,444374,34318,29986,126.34,64.71,61.91,4.28,2891,10262,0.099
Greece,GRC,2021-11-07,13104188,6711645,6421336,444852,1877,30204,126.36,64.72,61.92,4.29,2912,10396,0.1
Greece,GRC,2021-11-08,13146738,6725231,6429032,468263,42550,32170,126.77,64.85,61.99,4.52,3102,11243,0.108
Greece,GRC,2021-11-09,13191233,6740119,6435983,492565,44495,33951,127.2,64.99,62.06,4.75,3274,12061,0.116
Greece,GRC,2021-11-10,13246810,6754519,6443813,527900,55577,36728,127.73,65.13,62.13,5.09,3541,12543,0.121
Greece,GRC,2021-11-11,13302808,6768648,6451037,564186,55998,39466,128.27,65.27,62.2,5.44,3806,12681,0.122
Greece,GRC,2021-11-12,13358662,6782158,6460015,599301,55854,41524,128.81,65.4,62.29,5.78,4004,12275,0.118
Greece,GRC,2021-11-13,13411490,6797145,6469449,628835,52828,44168,129.32,65.54,62.38,6.06,4259,12375,0.119
Greece,GRC,2021-11-14,13414759,6798479,6470028,630386,3269,44367,129.35,65.55,62.39,6.08,4278,12405,0.12
Greece,GRC,2021-11-15,13468672,6812649,6477779,664450,53913,45991,129.87,65.69,62.46,6.41,4435,12488,0.12
Greece,GRC,2021-11-16,13543647,6832975,6486520,712486,74975,50345,130.59,65.89,62.55,6.87,4855,13265,0.128
Greece,GRC,2021-11-17,13613075,6850899,6494916,758208,69428,52324,131.26,66.06,62.63,7.31,5045,13769,0.133
Greece,GRC,2021-11-18,13681432,6868145,6499176,807181,68357,54089,131.92,66.23,62.67,7.78,5216,14214,0.137
Greece,GRC,2021-11-19,13753396,6884888,6508708,855495,71964,56391,132.62,66.39,62.76,8.25,5438,14676,0.142
Greece,GRC,2021-11-20,13822659,6903751,6519092,897422,69263,58738,133.29,66.57,62.86,8.65,5664,15229,0.147
Greece,GRC,2021-11-21,13827670,6905788,6519979,899933,5011,58987,133.33,66.59,62.87,8.68,5688,15330,0.148
Greece,GRC,2021-11-22,13898403,6921863,6528091,948733,70733,61390,134.02,66.74,62.95,9.15,5920,15602,0.15
Greece,GRC,2021-11-23,13980048,6939735,6537177,1006024,81645,62343,134.8,66.92,63.03,9.7,6011,15251,0.147
Greece,GRC,2021-11-24,14065170,6958707,6547857,1064773,85122,64585,135.62,67.1,63.14,10.27,6228,15401,0.149
Greece,GRC,2021-11-25,14156097,6978080,6559882,1127382,90927,67809,136.5,67.29,63.25,10.87,6538,15705,0.151
Greece,GRC,2021-11-26,14248118,6998760,6574051,1187936,92021,70675,137.39,67.49,63.39,11.45,6815,16267,0.157
Greece,GRC,2021-11-27,14334894,7017580,6587912,1244549,86776,73176,138.22,67.67,63.52,12.0,7056,16261,0.157
Greece,GRC,2021-11-28,14346455,7020812,6588976,1252180,11561,74112,138.34,67.7,63.53,12.07,7146,16432,0.158
Greece,GRC,2021-11-29,14430924,7034316,6601084,1313467,84469,76074,139.15,67.83,63.65,12.67,7335,16065,0.155
Greece,GRC,2021-11-30,14516080,7047587,6614211,1374349,85156,76576,139.97,67.96,63.78,13.25,7384,15407,0.149
Greece,GRC,2021-12-01,14608829,7063072,6627366,1441151,92749,77666,140.87,68.11,63.9,13.9,7489,14909,0.144
Greece,GRC,2021-12-02,14703436,7079025,6639951,1509419,94607,78191,141.78,68.26,64.03,14.55,7540,14421,0.139
Greece,GRC,2021-12-03,14800391,7095991,6653461,1578720,96955,78896,142.71,68.42,64.16,15.22,7608,13890,0.134
Greece,GRC,2021-12-04,14898188,7111405,6668194,1648629,97797,80471,143.66,68.57,64.3,15.9,7759,13404,0.129
Greece,GRC,2021-12-05,14990602,7147309,6672319,1701702,92414,92021,144.55,68.92,64.34,16.41,8873,18071,0.174
Greece,GRC,2021-12-06,15110625,7164250,6689541,1790033,120023,97100,145.7,69.08,64.5,17.26,9363,18562,0.179
Greece,GRC,2021-12-07,15210375,7175730,6704361,1865692,99750,99185,146.67,69.19,64.65,17.99,9564,18306,0.177
Greece,GRC,2021-12-08,15322565,7188226,6720846,1951476,112190,101962,147.75,69.31,64.81,18.82,9832,17879,0.172
Greece,GRC,2021-12-09,15434191,7201989,6736733,2035543,111626,104394,148.82,69.45,64.96,19.63,10066,17566,0.169
Greece,GRC,2021-12-10,15546327,7216048,6752813,2119939,112136,106562,149.91,69.58,65.11,20.44,10275,17151,0.165
Greece,GRC,2021-12-11,15655874,7226225,6770585,2203200,109547,108241,150.96,69.68,65.29,21.24,10437,16403,0.158
Greece,GRC,2021-12-12,15754335,7255971,6775660,2267292,98461,109105,151.91,69.97,65.33,21.86,10520,15523,0.15
Greece,GRC,2021-12-13,15847732,7265896,6788138,2339686,93397,105301,152.81,70.06,65.45,22.56,10154,14521,0.14
Greece,GRC,2021-12-14,15958423,7276186,6803330,2426391,110691,106864,153.88,70.16,65.6,23.4,10304,14351,0.138
Greece,GRC,2021-12-15,16070308,7287057,6819800,2512588,111885,106820,154.96,70.27,65.76,24.23,10300,14119,0.136
Greece,GRC,2021-12-16,16181393,7298858,6836045,2597248,111085,106743,156.03,70.38,65.92,25.04,10293,13838,0.133
Greece,GRC,2021-12-17,16293123,7311889,6854718,2679779,111730,106685,157.11,70.5,66.1,25.84,10287,13692,0.132
Greece,GRC,2021-12-18,16405290,7325631,6871356,2762667,112167,107059,158.19,70.64,66.26,26.64,10323,14201,0.137
Greece,GRC,2021-12-19,16503921,7346955,6877997,2833726,98631,107084,159.14,70.84,66.32,27.32,10326,12998,0.125
Greece,GRC,2021-12-20,16609921,7362634,6889751,2913155,106000,108884,160.16,70.99,66.43,28.09,10499,13820,0.133
Greece,GRC,2021-12-21,16718644,7374450,6903248,2998110,108723,108603,161.21,71.11,66.56,28.91,10472,14038,0.135
Greece,GRC,2021-12-22,16826398,7387715,6921458,3079914,107754,108013,162.25,71.24,66.74,29.7,10415,14380,0.139
Greece,GRC,2021-12-23,16930955,7401249,6935594,3158217,104557,107080,163.26,71.37,66.88,30.45,10325,14627,0.141
Greece,GRC,2021-12-24,17009581,7411154,6948465,3215596,78626,102351,164.02,71.46,67.0,31.01,9869,14181,0.137
Greece,GRC,2021-12-25,17010112,7411314,6948601,3215863,531,86403,164.02,71.46,67.0,31.01,8331,12240,0.118
Greece,GRC,2021-12-26,17010188,7411354,6948613,3215889,76,72324,164.02,71.46,67.0,31.01,6974,9200,0.089
Greece,GRC,2021-12-27,17093068,7420615,6982585,3256170,82880,69021,164.82,71.55,67.33,31.4,6655,8283,0.08
Greece,GRC,2021-12-28,17200240,7431695,7006801,3329290,107172,68799,165.85,71.66,67.56,32.1,6634,8178,0.079
Greece,GRC,2021-12-29,17302858,7445669,7020082,3405877,102618,68066,166.84,71.79,67.69,32.84,6563,8279,0.08
Greece,GRC,2021-12-30,17400380,7459446,7031794,3479029,97522,67061,167.78,71.93,67.8,33.55,6466,8314,0.08
Greece,GRC,2021-12-31,17469497,7469369,7041133,3530076,69117,65702,168.45,72.02,67.89,34.04,6335,8316,0.08
Greece,GRC,2022-01-01,17470021,7469558,7041308,3530263,524,65701,168.45,72.03,67.9,34.04,6335,8321,0.08
Greece,GRC,2022-01-02,17531789,7481376,7043668,3577893,61768,74514,169.05,72.14,67.92,34.5,7185,10003,0.096
Greece,GRC,2022-01-03,17623828,7491703,7065457,3639003,92039,75823,169.94,72.24,68.13,35.09,7311,10155,0.098
Greece,GRC,2022-01-04,17717885,7500452,7081340,3709182,94057,73949,170.84,72.32,68.28,35.77,7131,9822,0.095
Greece,GRC,2022-01-05,17812398,7510875,7094445,3781031,94513,72791,171.76,72.42,68.41,36.46,7019,9315,0.09
Greece,GRC,2022-01-06,17841184,7514586,7097804,3802846,28786,62972,172.03,72.46,68.44,36.67,6072,7877,0.076
Greece,GRC,2022-01-07,17913603,7525809,7109534,3852924,72419,63444,172.73,72.57,68.55,37.15,6118,8063,0.078
Greece,GRC,2022-01-08,18010925,7538613,7124691,3922480,97322,77272,173.67,72.69,68.7,37.82,7451,9865,0.095
Greece,GRC,2022-01-09,18050360,7541958,7127675,3955797,39435,74082,174.05,72.72,68.73,38.14,7143,8655,0.083
Greece,GRC,2022-01-10,18122797,7552097,7143177,4004217,72437,71281,174.75,72.82,68.88,38.61,6873,8628,0.083
Greece,GRC,2022-01-11,18211990,7565168,7157363,4067156,89193,70586,175.61,72.95,69.01,39.22,6806,9245,0.089
Greece,GRC,2022-01-12,18298513,7577075,7171477,4128707,86523,69445,176.44,73.06,69.15,39.81,6696,9457,0.091
Greece,GRC,2022-01-13,18382249,7590353,7184679,4186663,83736,77295,177.25,73.19,69.28,40.37,7453,10824,0.104
Greece,GRC,2022-01-14,18464988,7604561,7195405,4245379,82739,78769,178.05,73.33,69.38,40.94,7595,11250,0.108
Greece,GRC,2022-01-15,18550685,7618793,7204870,4307844,85697,77109,178.88,73.46,69.47,41.54,7435,11454,0.11
Greece,GRC,2022-01-16,18588675,7625688,7207261,4336807,37990,76902,179.24,73.53,69.5,41.82,7415,11961,0.115
Greece,GRC,2022-01-17,18649248,7634730,7215280,4381687,60573,75207,179.83,73.62,69.57,42.25,7252,11805,0.114
Greece,GRC,2022-01-18,18723304,7647219,7225805,4433464,74056,73045,180.54,73.74,69.67,42.75,7043,11722,0.113
Greece,GRC,2022-01-19,18795960,7659471,7238252,4482038,72656,71064,181.24,73.86,69.79,43.22,6852,11771,0.114
Greece,GRC,2022-01-20,18863508,7670865,7249945,4526900,67548,68751,181.89,73.97,69.91,43.65,6629,11502,0.111
Greece,GRC,2022-01-21,18931582,7683049,7259085,4573746,68074,66656,182.55,74.08,70.0,44.1,6427,11213,0.108
Greece,GRC,2022-01-22,19004130,7695950,7266497,4625610,72548,64778,183.25,74.21,70.07,44.6,6246,11022,0.106
Greece,GRC,2022-01-23,19031146,7701961,7267767,4645333,27016,63210,183.51,74.27,70.08,44.79,6095,10896,0.105
Greece,GRC,2022-01-24,19074854,7708120,7277709,4673601,43708,60801,183.93,74.33,70.18,45.07,5863,10484,0.101
Greece,GRC,2022-01-25,19104334,7713190,7283442,4692352,29480,54433,184.21,74.37,70.23,45.25,5249,9424,0.091
Greece,GRC,2022-01-26,19132406,7718210,7289336,4709519,28072,48064,184.48,74.42,70.29,45.41,4635,8391,0.081
Greece,GRC,2022-01-27,19174176,7725307,7295384,4738004,41770,44381,184.89,74.49,70.35,45.69,4279,7777,0.075
Greece,GRC,2022-01-28,19229825,7734363,7306554,4773439,55649,42606,185.42,74.58,70.45,46.03,4108,7331,0.071
Greece,GRC,2022-01-29,19293574,7743507,7321983,4812302,63749,41349,186.04,74.67,70.6,46.4,3987,6794,0.066
Greece,GRC,2022-01-30,19319108,7748786,7325393,4829090,25534,41137,186.28,74.72,70.64,46.56,3967,6689,0.064
Greece,GRC,2022-01-31,19361091,7755916,7335277,4854521,41983,40891,186.69,74.79,70.73,46.81,3943,6828,0.066
Greece,GRC,2022-02-01,19407803,7764628,7345617,4882191,46712,43353,187.14,74.87,70.83,47.08,4180,7348,0.071
Greece,GRC,2022-02-02,19448257,7772703,7354432,4905728,40454,45122,187.53,74.95,70.92,47.3,4351,7785,0.075
Greece,GRC,2022-02-03,19485592,7779573,7364105,4926340,37335,44488,187.89,75.01,71.01,47.5,4290,7752,0.075
Greece,GRC,2022-02-04,19524166,7786138,7374433,4947862,38574,42049,188.26,75.08,71.11,47.71,4055,7396,0.071
Greece,GRC,2022-02-05,19568729,7793233,7386394,4973072,44563,39308,188.69,75.15,71.22,47.95,3790,7104,0.069
Greece,GRC,2022-02-06,19580490,7794946,7388508,4981005,11761,37340,188.81,75.16,71.24,48.03,3601,6594,0.064
Greece,GRC,2022-02-07,19612560,7800059,7395339,5001595,32070,35924,189.11,75.21,71.31,48.23,3464,6306,0.061
Greece,GRC,2022-02-08,19656102,7804492,7405923,5030323,43542,35471,189.53,75.25,71.41,48.5,3420,5695,0.055
Greece,GRC,2022-02-09,19697211,7808200,7416139,5057492,41109,35565,189.93,75.29,71.51,48.77,3429,5071,0.049
Greece,GRC,2022-02-10,19733901,7811981,7425732,5080680,36690,35473,190.28,75.33,71.6,48.99,3420,4630,0.045
Greece,GRC,2022-02-11,19770450,7815775,7435749,5103292,36549,35183,190.64,75.36,71.7,49.21,3393,4234,0.041
Greece,GRC,2022-02-12,19811901,7819834,7447991,5128194,41451,34739,191.04,75.4,71.82,49.45,3350,3800,0.037
Greece,GRC,2022-02-13,19822367,7820745,7450139,5135594,10466,34554,191.14,75.41,71.84,49.52,3332,3686,0.036
Greece,GRC,2022-02-14,19847596,7823574,7455232,5153170,25229,33577,191.38,75.44,71.89,49.69,3238,3359,0.032
Greece,GRC,2022-02-15,19875988,7827310,7461371,5171756,28392,31412,191.65,75.47,71.95,49.87,3029,3260,0.031
Greece,GRC,2022-02-16,19900702,7830924,7467056,5187125,24714,29070,191.89,75.51,72.0,50.02,2803,3246,0.031
Greece,GRC,2022-02-17,19923836,7834105,7473202,5200878,23134,27134,192.12,75.54,72.06,50.15,2616,3161,0.03
Greece,GRC,2022-02-18,19947823,7837319,7480288,5214606,23987,25339,192.35,75.57,72.13,50.28,2443,3078,0.03
Greece,GRC,2022-02-19,19976469,7840825,7489548,5230293,28646,23510,192.62,75.61,72.22,50.43,2267,2999,0.029
Greece,GRC,2022-02-20,19982991,7841484,7491209,5234504,6522,22946,192.69,75.61,72.23,50.47,2213,2963,0.029
Greece,GRC,2022-02-21,20004983,7843755,7496441,5249358,21992,22484,192.9,75.63,72.28,50.62,2168,2883,0.028
Greece,GRC,2022-02-22,20030286,7846631,7503755,5264600,25303,22043,193.14,75.66,72.36,50.76,2125,2760,0.027
Greece,GRC,2022-02-23,20052184,7849143,7510459,5277297,21898,21640,193.35,75.69,72.42,50.89,2087,2603,0.025
Greece,GRC,2022-02-24,20071431,7851136,7516190,5288741,19247,21085,193.54,75.7,72.47,51.0,2033,2433,0.023
Greece,GRC,2022-02-25,20092692,7853547,7522128,5301583,21261,20696,193.74,75.73,72.53,51.12,1996,2318,0.022
Greece,GRC,2022-02-26,20119267,7856332,7530140,5317201,26575,20400,194.0,75.75,72.61,51.27,1967,2215,0.021
Greece,GRC,2022-02-27,20125573,7856895,7531579,5321493,6306,20369,194.06,75.76,72.62,51.31,1964,2202,0.021
Greece,GRC,2022-02-28,20147246,7858917,7536593,5336400,21673,20323,194.27,75.78,72.67,51.46,1960,2166,0.021
Greece,GRC,2022-03-01,20166431,7861093,7540102,5349957,19185,19449,194.45,75.8,72.71,51.59,1875,2066,0.02
Greece,GRC,2022-03-02,20180468,7862972,7542618,5359595,14037,18326,194.59,75.82,72.73,51.68,1767,1976,0.019
Greece,GRC,2022-03-03,20197334,7865151,7545476,5371293,16866,17986,194.75,75.84,72.76,51.79,1734,2002,0.019
Greece,GRC,2022-03-04,20211767,7866947,7548112,5381241,14433,17011,194.89,75.86,72.78,51.89,1640,1914,0.018
Greece,GRC,2022-03-05,20229483,7869354,7551492,5393028,17716,15745,195.06,75.88,72.82,52.0,1518,1860,0.018
Greece,GRC,2022-03-06,20233125,7869736,7551983,5395789,3642,15365,195.1,75.88,72.82,52.03,1482,1834,0.018
Greece,GRC,2022-03-07,20233243,7869761,7552026,5395838,118,12285,195.1,75.88,72.82,52.03,1185,1549,0.015
Greece,GRC,2022-03-08,20245734,7871300,7554569,5404149,12491,11329,195.22,75.9,72.84,52.11,1092,1458,0.014
Greece,GRC,2022-03-09,20263362,7874118,7557849,5415898,17628,11842,195.39,75.93,72.88,52.22,1142,1592,0.015
Greece,GRC,2022-03-10,20280234,7876187,7560823,5427677,16872,11843,195.55,75.95,72.91,52.34,1142,1577,0.015
Greece,GRC,2022-03-11,20293254,7877619,7563270,5436779,13020,11641,195.68,75.96,72.93,52.42,1122,1525,0.015
Greece,GRC,2022-03-12,20311201,7879361,7567086,5449036,17947,11674,195.85,75.98,72.97,52.54,1126,1430,0.014
Greece,GRC,2022-03-13,20314595,7879640,7567630,5451605,3394,11639,195.88,75.98,72.97,52.57,1122,1415,0.014
Greece,GRC,2022-03-14,20324765,7880710,7569124,5459405,10170,13075,195.98,75.99,72.99,52.64,1261,1564,0.015
Greece,GRC,2022-03-15,20339677,7882091,7571382,5470592,14912,13420,196.13,76.0,73.01,52.75,1294,1542,0.015
Greece,GRC,2022-03-16,20352306,7883832,7573184,5479593,12629,12706,196.25,76.02,73.02,52.84,1225,1388,0.013
Greece,GRC,2022-03-17,20366298,7885266,7575235,5489909,13992,12295,196.38,76.03,73.04,52.94,1186,1297,0.013
Greece,GRC,2022-03-18,20379512,7886571,7577174,5499741,13214,12323,196.51,76.05,73.06,53.03,1188,1279,0.012
Greece,GRC,2022-03-19,20396984,7888229,7580073,5512480,17472,12255,196.68,76.06,73.09,53.15,1182,1267,0.012
Greece,GRC,2022-03-20,20400742,7888561,7580525,5515449,3758,12307,196.71,76.07,73.1,53.18,1187,1274,0.012
Greece,GRC,2022-03-21,20411638,7889555,7581901,5524099,10896,12410,196.82,76.08,73.11,53.27,1197,1264,0.012
Greece,GRC,2022-03-22,20426618,7890806,7583726,5535898,14980,12420,196.96,76.09,73.13,53.38,1198,1245,0.012
