area,areaid,dailydose1,dailydose2,daydiff,daytotal,referencedate,totaldistinctpersons,totaldose1,totaldose2,totalvaccinations
ΜΗΛΟΥ,1207,3,9,12,12,2021-03-11T00:00:00,452,452,235,687
ΜΥΚΟΝΟΥ,1208,5,7,12,12,2021-03-11T00:00:00,181,181,150,331
ΝΑΞΟΥ,1209,23,7,-6,30,2021-03-11T00:00:00,835,835,441,1276
ΝΗΣΩΝ,906,105,32,9,137,2021-03-11T00:00:00,3223,3223,1715,4938
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,761,249,54,1010,2021-03-11T00:00:00,20766,20766,8539,29305
ΞΑΝΘΗΣ,105,187,35,14,222,2021-03-11T00:00:00,5416,5416,2400,7816
ΠΑΡΟΥ,1210,0,0,0,0,2021-03-11T00:00:00,310,310,296,606
ΠΕΙΡΑΙΩΣ,908,1194,284,19,1478,2021-03-11T00:00:00,32698,32698,15116,47814
ΠΕΛΛΑΣ,204,348,92,-29,440,2021-03-11T00:00:00,10424,10424,5446,15870
ΠΙΕΡΙΑΣ,205,223,77,5,300,2021-03-11T00:00:00,6604,6604,4076,10680
ΠΡΕΒΕΖΑΣ,404,137,38,5,175,2021-03-11T00:00:00,4413,4413,1162,5575
ΡΕΘΥΜΝΟΥ,1303,258,30,-2,288,2021-03-11T00:00:00,6811,6811,2477,9288
ΡΟΔΟΠΗΣ,106,157,64,8,221,2021-03-11T00:00:00,4810,4810,2258,7068
ΡΟΔΟΥ,1211,237,33,79,270,2021-03-11T00:00:00,5996,5996,2594,8590
ΣΑΜΟΥ,1104,44,12,-12,56,2021-03-11T00:00:00,2103,2103,906,3009
ΣΕΡΡΩΝ,206,266,75,-4,341,2021-03-11T00:00:00,10118,10118,3512,13630
ΣΠΟΡΑΔΩΝ,504,24,0,-18,24,2021-03-11T00:00:00,437,437,247,684
ΣΥΡΟΥ,1212,36,12,6,48,2021-03-11T00:00:00,1292,1292,869,2161
ΤΗΝΟΥ,1213,1,5,6,6,2021-03-11T00:00:00,315,315,284,599
ΤΡΙΚΑΛΩΝ,505,168,165,-11,333,2021-03-11T00:00:00,9907,9907,4907,14814
ΦΘΙΩΤΙΔΑΣ,804,270,107,8,377,2021-03-11T00:00:00,8468,8468,3708,12176
ΦΛΩΡΙΝΑΣ,304,175,15,-16,190,2021-03-11T00:00:00,4253,4253,1682,5935
ΦΩΚΙΔΑΣ,805,48,17,3,65,2021-03-11T00:00:00,2383,2383,1004,3387
ΧΑΛΚΙΔΙΚΗΣ,207,247,53,-27,300,2021-03-11T00:00:00,7748,7748,2479,10227
ΧΑΝΙΩΝ,1304,457,57,-1,514,2021-03-11T00:00:00,13375,13375,6841,20216
ΧΙΟΥ,1105,122,68,46,190,2021-03-11T00:00:00,4049,4049,1878,5927
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,272,105,16,377,2021-03-12T00:00:00,10622,10622,4262,14884
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,894,54,-78,948,2021-03-12T00:00:00,22302,22302,9862,32164
ΑΝΔΡΟΥ,1201,1,8,-9,9,2021-03-12T00:00:00,306,306,279,585
ΑΡΓΟΛΙΔΑΣ,1001,184,39,10,223,2021-03-12T00:00:00,6730,6730,3003,9733
ΑΡΚΑΔΙΑΣ,1002,221,10,23,231,2021-03-12T00:00:00,6718,6718,2828,9546
ΑΡΤΑΣ,401,63,98,4,161,2021-03-12T00:00:00,5061,5061,3238,8299
ΑΧΑΪΑΣ,702,583,146,-21,729,2021-03-12T00:00:00,19314,19314,10081,29395
ΒΟΙΩΤΙΑΣ,801,297,82,2,379,2021-03-12T00:00:00,9746,9746,2815,12561
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,902,2198,1656,-150,3854,2021-03-12T00:00:00,120379,120379,47723,168102
ΓΡΕΒΕΝΩΝ,301,69,46,17,115,2021-03-12T00:00:00,2754,2754,1254,4008
ΔΡΑΜΑΣ,101,168,95,-2,263,2021-03-12T00:00:00,6653,6653,3293,9946
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,194,13,-15,207,2021-03-12T00:00:00,7874,7874,3007,10881
